text,target,keywords_sorted,keywords_indices,keywords_count
"['how', 'do', 'i', 'reserve', 'the', 'orange', 'county', 'convention', 'center', 'for', 'an', 'event']","['how', 'do', 'i', 'reserve', 'the', 'orange', '<KEYWORD>', 'county', '<KEYWORD>', '<KEYWORD>', 'convention', '<KEYWORD>', 'center', 'for', 'an', 'event']","['county', 'convention']","[6, 7]",2
"['how', 'do', 'i', 'weather', 'strip', 'my', 'sliding', 'glass', 'door']","['how', 'do', 'i', '<KEYWORD>', 'weather', '<KEYWORD>', '<KEYWORD>', 'strip', '<KEYWORD>', 'my', '<KEYWORD>', 'sliding', '<KEYWORD>', 'glass', '<KEYWORD>', 'door', '<KEYWORD>']","['weather', 'strip', 'sliding', 'door']","[3, 4, 6, 8]",4
"['how', 'do', 'you', 'dispute', 'credit', 'report', 'information']","['how', 'do', 'you', '<KEYWORD>', 'dispute', '<KEYWORD>', '<KEYWORD>', 'credit', '<KEYWORD>', '<KEYWORD>', 'report', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>']","['dispute', 'credit', 'report', 'information']","[3, 4, 5, 6]",4
"['how', 'do', 'you', 'treat', 'a', 'hip', 'fracture', 'and', 'what', 'is', 'the', 'prognosis', 'for', 'recovery']","['how', 'do', 'you', '<KEYWORD>', 'treat', '<KEYWORD>', 'a', '<KEYWORD>', 'hip', '<KEYWORD>', 'fracture', 'and', 'what', 'is', 'the', '<KEYWORD>', 'prognosis', '<KEYWORD>', 'for', '<KEYWORD>', 'recovery', '<KEYWORD>']","['treat', 'hip', 'prognosis', 'recovery']","[3, 5, 11, 13]",4
"['how', 'do', 'you', 'treat', 'severe', 'angular', 'cheilitis']","['how', 'do', 'you', '<KEYWORD>', 'treat', '<KEYWORD>', '<KEYWORD>', 'severe', '<KEYWORD>', '<KEYWORD>', 'angular', '<KEYWORD>', '<KEYWORD>', 'cheilitis', '<KEYWORD>']","['treat', 'severe', 'angular', 'cheilitis']","[3, 4, 5, 6]",4
"['how', 'do', 'you', 'weather', 'strip', 'automobile', 'windows', 'and', 'doors']","['how', 'do', 'you', 'weather', 'strip', '<KEYWORD>', 'automobile', '<KEYWORD>', 'windows', 'and', '<KEYWORD>', 'doors', '<KEYWORD>']","['automobile', 'doors']","[5, 8]",2
"['how', 'does', 'a', 'septic', 'system', 'work']","['how', 'does', 'a', '<KEYWORD>', 'septic', '<KEYWORD>', '<KEYWORD>', 'system', '<KEYWORD>', '<KEYWORD>', 'work', '<KEYWORD>']","['septic', 'system', 'work']","[3, 4, 5]",3
"['how', 'does', 'furniture', 'arrangement', 'create', 'an', 'illusion', 'of', 'more', 'space']","['how', 'does', 'furniture', '<KEYWORD>', 'arrangement', '<KEYWORD>', '<KEYWORD>', 'create', '<KEYWORD>', 'an', 'illusion', 'of', 'more', '<KEYWORD>', 'space', '<KEYWORD>']","['arrangement', 'create', 'space']","[3, 4, 9]",3
"['how', 'does', 'one', 'build', 'an', 'adobe', 'house']","['how', 'does', '<KEYWORD>', 'one', '<KEYWORD>', '<KEYWORD>', 'build', '<KEYWORD>', 'an', 'adobe', 'house']","['one', 'build']","[2, 3]",2
"['how', 'has', 'the', 'phrase', 'all', 'men', 'are', 'created', 'equal', 'been', 'interpreted', 'over', 'time', 'by', 'the', 'us', 'surpreme', 'court']","['how', 'has', 'the', 'phrase', 'all', '<KEYWORD>', 'men', '<KEYWORD>', 'are', 'created', '<KEYWORD>', 'equal', '<KEYWORD>', 'been', 'interpreted', 'over', '<KEYWORD>', 'time', '<KEYWORD>', 'by', 'the', 'us', '<KEYWORD>', 'surpreme', '<KEYWORD>', 'court']","['men', 'equal', 'time', 'surpreme']","[5, 8, 12, 16]",4
"['how', 'is', 'a', 'credit', 'score', 'determined']","['how', 'is', 'a', '<KEYWORD>', 'credit', '<KEYWORD>', '<KEYWORD>', 'score', '<KEYWORD>', '<KEYWORD>', 'determined', '<KEYWORD>']","['credit', 'score', 'determined']","[3, 4, 5]",3
"['how', 'is', 'the', 'sit', 'and', 'reach', 'test', 'properly', 'done']","['how', 'is', 'the', '<KEYWORD>', 'sit', '<KEYWORD>', 'and', '<KEYWORD>', 'reach', '<KEYWORD>', '<KEYWORD>', 'test', '<KEYWORD>', '<KEYWORD>', 'properly', '<KEYWORD>', 'done']","['sit', 'reach', 'test', 'properly']","[3, 5, 6, 7]",4
"['how', 'is', 'workplace', 'diversity', 'achieved', 'and', 'managed']","['how', 'is', '<KEYWORD>', 'workplace', '<KEYWORD>', 'diversity', '<KEYWORD>', 'achieved', '<KEYWORD>', 'and', 'managed']","['workplace', 'achieved']","[2, 4]",2
"['how', 'likely', 'is', 'a', 'volcanic', 'eruption', 'at', 'yellowstone', 'national', 'park', 'and', 'what', 'would', 'be', 'the', 'effects', 'of', 'such', 'an', 'eruption']","['how', 'likely', 'is', 'a', 'volcanic', '<KEYWORD>', 'eruption', '<KEYWORD>', 'at', 'yellowstone', '<KEYWORD>', 'national', '<KEYWORD>', '<KEYWORD>', 'park', '<KEYWORD>', 'and', 'what', 'would', 'be', 'the', '<KEYWORD>', 'effects', '<KEYWORD>', 'of', 'such', 'an', 'eruption']","['eruption', 'national', 'park', 'effects']","[5, 8, 9, 15]",4
"['how', 'many', 'hip', 'fractures', 'occur', 'annually', 'in', 'the', 'us']","['how', 'many', '<KEYWORD>', 'hip', '<KEYWORD>', 'fractures', '<KEYWORD>', 'occur', '<KEYWORD>', 'annually', 'in', 'the', '<KEYWORD>', 'us', '<KEYWORD>']","['hip', 'occur', 'us']","[2, 4, 8]",3
"['how', 'much', 'does', 'internet', 'phone', 'service', 'cost']","['how', 'much', 'does', '<KEYWORD>', 'internet', '<KEYWORD>', '<KEYWORD>', 'phone', '<KEYWORD>', '<KEYWORD>', 'service', '<KEYWORD>', 'cost']","['internet', 'phone', 'service']","[3, 4, 5]",3
"['how', 'much', 'does', 'long', 'term', 'insurance', 'cost']","['how', '<KEYWORD>', 'much', '<KEYWORD>', 'does', '<KEYWORD>', 'long', '<KEYWORD>', '<KEYWORD>', 'term', '<KEYWORD>', 'insurance', '<KEYWORD>', 'cost', '<KEYWORD>']","['much', 'long', 'term', 'cost']","[1, 3, 4, 6]",4
"['how', 'often', 'may', 'atypical', 'squamous', 'cells', 'predict', 'cervical', 'cancer']","['how', '<KEYWORD>', 'often', '<KEYWORD>', '<KEYWORD>', 'may', '<KEYWORD>', 'atypical', 'squamous', '<KEYWORD>', 'cells', '<KEYWORD>', 'predict', 'cervical', 'cancer']","['often', 'may', 'cells']","[1, 2, 5]",3
"['i', 'am', 'looking', 'for', 'information', 'about', 'taking', 'a', 'vacation', 'trip', 'to', 'brazil']","['i', 'am', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'information', 'about', 'taking', 'a', '<KEYWORD>', 'vacation', '<KEYWORD>', 'trip', 'to', '<KEYWORD>', 'brazil', '<KEYWORD>']","['looking', 'vacation', 'brazil']","[2, 8, 11]",3
"['i', 'am', 'looking', 'for', 'more', 'information', 'about', 'health', 'care', 'coverage', 'for', 'low', 'income', 'residents', 'ofsonoma', 'county', 'ca']","['i', 'am', 'looking', 'for', 'more', 'information', 'about', '<KEYWORD>', 'health', '<KEYWORD>', 'care', '<KEYWORD>', 'coverage', '<KEYWORD>', 'for', 'low', 'income', '<KEYWORD>', 'residents', '<KEYWORD>', 'ofsonoma', 'county', 'ca']","['health', 'coverage', 'residents']","[7, 9, 13]",3
"['i', 'am', 'looking', 'for', 'newcomer', 'information', 'for', 'cass', 'county', 'missouri']","['i', 'am', 'looking', 'for', '<KEYWORD>', 'newcomer', '<KEYWORD>', 'information', 'for', '<KEYWORD>', 'cass', '<KEYWORD>', '<KEYWORD>', 'county', '<KEYWORD>', '<KEYWORD>', 'missouri', '<KEYWORD>']","['newcomer', 'cass', 'county', 'missouri']","[4, 7, 8, 9]",4
"['i', 'am', 'looking', 'for', 'spreadsheets', 'or', 'templates', 'to', 'help', 'me', 'tabulate', 'a', 'budget', 'for', 'a', 'wedding']","['i', 'am', 'looking', 'for', 'spreadsheets', 'or', '<KEYWORD>', 'templates', '<KEYWORD>', 'to', '<KEYWORD>', 'help', '<KEYWORD>', 'me', 'tabulate', 'a', '<KEYWORD>', 'budget', '<KEYWORD>', 'for', 'a', '<KEYWORD>', 'wedding', '<KEYWORD>']","['templates', 'help', 'budget', 'wedding']","[6, 8, 12, 15]",4
"['i', 'need', 'a', 'septic', 'system', 'contractor']","['i', '<KEYWORD>', 'need', '<KEYWORD>', 'a', '<KEYWORD>', 'septic', '<KEYWORD>', '<KEYWORD>', 'system', '<KEYWORD>', '<KEYWORD>', 'contractor', '<KEYWORD>']","['need', 'septic', 'system', 'contractor']","[1, 3, 4, 5]",4
"['i', 'need', 'the', 'customer', 'service', 'contact', 'information', 'for', 'the', 'three', 'major', 'credit', 'reporting', 'agencies']","['i', 'need', 'the', 'customer', '<KEYWORD>', 'service', '<KEYWORD>', 'contact', 'information', 'for', 'the', 'three', '<KEYWORD>', 'major', '<KEYWORD>', '<KEYWORD>', 'credit', '<KEYWORD>', '<KEYWORD>', 'reporting', '<KEYWORD>', 'agencies']","['service', 'major', 'credit', 'reporting']","[4, 10, 11, 12]",4
"['i', 'need', 'travel', 'and', 'tourism', 'information', 'for', 'vanuatu']","['i', '<KEYWORD>', 'need', '<KEYWORD>', '<KEYWORD>', 'travel', '<KEYWORD>', 'and', 'tourism', 'information', 'for', '<KEYWORD>', 'vanuatu', '<KEYWORD>']","['need', 'travel', 'vanuatu']","[1, 2, 7]",3
"['i', 'want', 'to', 'book', 'a', 'room', 'in', 'a', 'hotel', 'that', 's', 'on', 'times', 'square', 'in', 'new', 'york', 'city']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', '<KEYWORD>', 'book', '<KEYWORD>', 'a', 'room', 'in', 'a', 'hotel', 'that', 's', 'on', 'times', 'square', 'in', '<KEYWORD>', 'new', '<KEYWORD>', '<KEYWORD>', 'york', '<KEYWORD>', 'city']","['want', 'book', 'new', 'york']","[1, 3, 15, 16]",4
"['i', 'want', 'to', 'buy', 'a', 'road', 'map', 'of', 'brazil']","['i', 'want', 'to', '<KEYWORD>', 'buy', '<KEYWORD>', 'a', '<KEYWORD>', 'road', '<KEYWORD>', '<KEYWORD>', 'map', '<KEYWORD>', 'of', '<KEYWORD>', 'brazil', '<KEYWORD>']","['buy', 'road', 'map', 'brazil']","[3, 5, 6, 8]",4
"['i', 'want', 'to', 'fill', 'in', 'the', 'customer', 'satisfaction', 'survey', 'about', 'my', 'interaction', 'with', 'a', 'tennessee', 'highway', 'patrol', 'state', 'trooper']","['i', 'want', 'to', 'fill', 'in', 'the', 'customer', '<KEYWORD>', 'satisfaction', '<KEYWORD>', '<KEYWORD>', 'survey', '<KEYWORD>', 'about', 'my', 'interaction', 'with', 'a', 'tennessee', 'highway', 'patrol', 'state', 'trooper']","['satisfaction', 'survey']","[7, 8]",2
"['i', 'want', 'to', 'find', 'nba', 'basketball', 'standings']","['i', 'want', 'to', 'find', '<KEYWORD>', 'nba', '<KEYWORD>', '<KEYWORD>', 'basketball', '<KEYWORD>', 'standings']","['nba', 'basketball']","[4, 5]",2
"['i', 'want', 'to', 'find', 'texas', 'hold', 'em', 'tournaments']","['i', 'want', 'to', '<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'texas', '<KEYWORD>', 'hold', 'em', '<KEYWORD>', 'tournaments', '<KEYWORD>']","['find', 'texas', 'tournaments']","[3, 4, 7]",3
"['i', 'want', 'to', 'find', 'a', 'salvage', 'or', 'junk', 'yard']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'a', '<KEYWORD>', 'salvage', '<KEYWORD>', 'or', 'junk', '<KEYWORD>', 'yard', '<KEYWORD>']","['want', 'find', 'salvage', 'yard']","[1, 3, 5, 8]",4
"['i', 'want', 'to', 'find', 'a', 'vacation', 'rental', 'oceanfront', 'condo', 'in', 'florida']","['i', 'want', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'a', 'vacation', '<KEYWORD>', 'rental', '<KEYWORD>', 'oceanfront', 'condo', 'in', '<KEYWORD>', 'florida', '<KEYWORD>']","['find', 'rental', 'florida']","[3, 6, 10]",3
"['i', 'want', 'to', 'find', 'cheap', 'dsl', 'providers']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', 'find', '<KEYWORD>', 'cheap', '<KEYWORD>', '<KEYWORD>', 'dsl', '<KEYWORD>', 'providers']","['want', 'cheap', 'dsl']","[1, 4, 5]",3
"['i', 'want', 'to', 'find', 'information', 'on', 'the', 'world', 'series', 'of', 'poker']","['i', 'want', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'information', 'on', 'the', '<KEYWORD>', 'world', '<KEYWORD>', 'series', 'of', '<KEYWORD>', 'poker', '<KEYWORD>']","['find', 'world', 'poker']","[3, 7, 10]",3
"['i', 'want', 'to', 'find', 'online', 'guides', 'tips', 'and', 'checklists', 'for', 'planning', 'a', 'wedding']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', 'find', '<KEYWORD>', 'online', '<KEYWORD>', '<KEYWORD>', 'guides', '<KEYWORD>', 'tips', 'and', 'checklists', 'for', '<KEYWORD>', 'planning', '<KEYWORD>', 'a', 'wedding']","['want', 'online', 'guides', 'planning']","[1, 4, 5, 10]",4
"['i', 'want', 'to', 'find', 'pictures', 'of', 'dinosaurs', 'that', 'i', 'can', 'color', 'in', 'as', 'in', 'a', 'coloring', 'book']","['i', 'want', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'pictures', 'of', '<KEYWORD>', 'dinosaurs', '<KEYWORD>', 'that', 'i', 'can', '<KEYWORD>', 'color', '<KEYWORD>', 'in', 'as', 'in', 'a', 'coloring', 'book']","['find', 'dinosaurs', 'color']","[3, 6, 10]",3
"['i', 'want', 'to', 'find', 'some', 'example', 'wedding', 'budgets']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', 'find', 'some', '<KEYWORD>', 'example', '<KEYWORD>', 'wedding', 'budgets']","['want', 'example']","[1, 5]",2
"['i', 'want', 'to', 'find', 'sources', 'for', 'satellite', 'maps', 'and', 'live', 'satellite', 'photos']","['i', 'want', 'to', '<KEYWORD>', 'find', '<KEYWORD>', 'sources', 'for', 'satellite', '<KEYWORD>', 'maps', '<KEYWORD>', 'and', '<KEYWORD>', 'live', '<KEYWORD>', 'satellite', 'photos']","['find', 'maps', 'live']","[3, 7, 9]",3
"['i', 'want', 'to', 'hire', 'a', 'dj', 'for', 'a', 'wedding']","['i', 'want', 'to', '<KEYWORD>', 'hire', '<KEYWORD>', 'a', '<KEYWORD>', 'dj', '<KEYWORD>', 'for', 'a', 'wedding']","['hire', 'dj']","[3, 5]",2
"['i', 'want', 'to', 'read', 'about', 'the', 'debate', 'between', 'john', 'mccain', 'and', 'barack', 'obama', 'hosted', 'by', 'rick', 'warren']","['i', 'want', 'to', 'read', 'about', 'the', '<KEYWORD>', 'debate', '<KEYWORD>', 'between', 'john', '<KEYWORD>', 'mccain', '<KEYWORD>', 'and', 'barack', 'obama', '<KEYWORD>', 'hosted', '<KEYWORD>', 'by', 'rick', '<KEYWORD>', 'warren', '<KEYWORD>']","['debate', 'mccain', 'hosted', 'warren']","[6, 9, 13, 16]",4
"['i', 'want', 'to', 'read', 'about', 'the', 'history', 'of', 'the', 'atari', '2600', 'and', 'other', 'atari', 'game', 'consoles']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', 'read', 'about', 'the', 'history', 'of', 'the', '<KEYWORD>', 'atari', '<KEYWORD>', '<KEYWORD>', '2600', '<KEYWORD>', 'and', 'other', 'atari', '<KEYWORD>', 'game', '<KEYWORD>', 'consoles']","['want', 'atari', '2600', 'game']","[1, 9, 10, 14]",4
"['i', 'want', 'to', 'see', 'articles', 'and', 'web', 'pages', 'about', 'the', 'controversy', 'over', 'rick', 'warren', 's', 'invocation', 'at', 'the', 'obama', 'inauguration']","['i', '<KEYWORD>', 'want', '<KEYWORD>', 'to', '<KEYWORD>', 'see', '<KEYWORD>', 'articles', 'and', 'web', 'pages', 'about', 'the', 'controversy', 'over', '<KEYWORD>', 'rick', '<KEYWORD>', '<KEYWORD>', 'warren', '<KEYWORD>', 's', 'invocation', 'at', 'the', 'obama', 'inauguration']","['want', 'see', 'rick', 'warren']","[1, 3, 12, 13]",4
"['i', 'would', 'like', 'to', 'find', 'reviews', 'of', 'the', 'pampered', 'chef', 'programs', 'products', 'and', 'recipes']","['i', '<KEYWORD>', 'would', '<KEYWORD>', '<KEYWORD>', 'like', '<KEYWORD>', 'to', 'find', 'reviews', 'of', 'the', '<KEYWORD>', 'pampered', '<KEYWORD>', '<KEYWORD>', 'chef', '<KEYWORD>', 'programs', 'products', 'and', 'recipes']","['would', 'like', 'pampered', 'chef']","[1, 2, 8, 9]",4
"['i', 'd', 'like', 'to', 'find', 'user', 'reports', 'about', 'windows', 'defender', 'particularly', 'problems', 'with', 'the', 'software']","['i', 'd', 'like', 'to', 'find', 'user', 'reports', 'about', 'windows', 'defender', '<KEYWORD>', 'particularly', '<KEYWORD>', 'problems', 'with', 'the', '<KEYWORD>', 'software', '<KEYWORD>']","['particularly', 'software']","[10, 14]",2
"['i', 'd', 'like', 'to', 'order', 'books', 'or', 'videos', 'cds', 'about', 'how', 'to', 'construct', 'adobe', 'buildings']","['i', 'd', '<KEYWORD>', 'like', '<KEYWORD>', 'to', 'order', 'books', 'or', 'videos', 'cds', 'about', 'how', 'to', 'construct', 'adobe', 'buildings']",['like'],[2],1
"['i', 'm', 'looking', 'for', 'djs', 'that', 'specialize', 'in', 'hip', 'hop', 'music']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', '<KEYWORD>', 'djs', '<KEYWORD>', 'that', '<KEYWORD>', 'specialize', '<KEYWORD>', 'in', 'hip', 'hop', 'music']","['looking', 'djs', 'specialize']","[2, 4, 6]",3
"['i', 'm', 'looking', 'for', 'inuyasha', 'fan', 'forums', 'and', 'websites']","['i', 'm', 'looking', 'for', '<KEYWORD>', 'inuyasha', '<KEYWORD>', '<KEYWORD>', 'fan', '<KEYWORD>', '<KEYWORD>', 'forums', '<KEYWORD>', 'and', 'websites']","['inuyasha', 'fan', 'forums']","[4, 5, 6]",3
"['i', 'm', 'looking', 'for', 'a', 'list', 'of', 'all', 'or', 'many', 'of', 'the', 'different', 'kinds', 'of', 'dinosaurs', 'with', 'pictures']","['i', 'm', 'looking', 'for', 'a', '<KEYWORD>', 'list', '<KEYWORD>', 'of', 'all', 'or', 'many', 'of', 'the', 'different', '<KEYWORD>', 'kinds', '<KEYWORD>', 'of', '<KEYWORD>', 'dinosaurs', '<KEYWORD>', 'with', '<KEYWORD>', 'pictures', '<KEYWORD>']","['list', 'kinds', 'dinosaurs', 'pictures']","[5, 13, 15, 17]",4
"['i', 'm', 'looking', 'for', 'a', 'schedule', 'of', 'poker', 'tournaments', 'in', 'atlantic', 'city']","['i', 'm', 'looking', 'for', 'a', '<KEYWORD>', 'schedule', '<KEYWORD>', 'of', '<KEYWORD>', 'poker', '<KEYWORD>', '<KEYWORD>', 'tournaments', '<KEYWORD>', 'in', 'atlantic', 'city']","['schedule', 'poker', 'tournaments']","[5, 7, 8]",3
"['i', 'm', 'looking', 'for', 'a', 'schedule', 'of', 'poker', 'tournaments', 'in', 'las', 'vegas']","['i', 'm', 'looking', 'for', 'a', 'schedule', 'of', '<KEYWORD>', 'poker', '<KEYWORD>', '<KEYWORD>', 'tournaments', '<KEYWORD>', 'in', '<KEYWORD>', 'las', '<KEYWORD>', '<KEYWORD>', 'vegas', '<KEYWORD>']","['poker', 'tournaments', 'las', 'vegas']","[7, 8, 10, 11]",4
"['i', 'm', 'looking', 'for', 'background', 'and', 'biographical', 'information', 'on', 'rick', 'warren']","['i', 'm', 'looking', 'for', '<KEYWORD>', 'background', '<KEYWORD>', 'and', 'biographical', 'information', 'on', '<KEYWORD>', 'rick', '<KEYWORD>', '<KEYWORD>', 'warren', '<KEYWORD>']","['background', 'rick', 'warren']","[4, 9, 10]",3
"['i', 'm', 'looking', 'for', 'companies', 'that', 'manufacture', 'residential', 'toilets']","['i', 'm', 'looking', 'for', '<KEYWORD>', 'companies', '<KEYWORD>', 'that', '<KEYWORD>', 'manufacture', '<KEYWORD>', '<KEYWORD>', 'residential', '<KEYWORD>', '<KEYWORD>', 'toilets', '<KEYWORD>']","['companies', 'manufacture', 'residential', 'toilets']","[4, 6, 7, 8]",4
"['i', 'm', 'looking', 'for', 'free', 'pictures', 'of', 'dinosaurs']","['i', 'm', 'looking', 'for', '<KEYWORD>', 'free', '<KEYWORD>', '<KEYWORD>', 'pictures', '<KEYWORD>', 'of', '<KEYWORD>', 'dinosaurs', '<KEYWORD>']","['free', 'pictures', 'dinosaurs']","[4, 5, 7]",3
"['i', 'm', 'looking', 'for', 'information', 'on', 'defender', 'an', 'arcade', 'game', 'by', 'williams', 'is', 'it', 'possible', 'to', 'play', 'it', 'online']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'information', 'on', '<KEYWORD>', 'defender', '<KEYWORD>', 'an', '<KEYWORD>', 'arcade', '<KEYWORD>', '<KEYWORD>', 'game', '<KEYWORD>', 'by', 'williams', 'is', 'it', 'possible', 'to', 'play', 'it', 'online']","['looking', 'defender', 'arcade', 'game']","[2, 6, 8, 9]",4
"['i', 'm', 'looking', 'for', 'information', 'on', 'nascar', 'races']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'information', 'on', '<KEYWORD>', 'nascar', '<KEYWORD>', 'races']","['looking', 'nascar']","[2, 6]",2
"['i', 'm', 'looking', 'for', 'information', 'on', 'bars', 'and', 'nightclubs', 'in', 'hoboken', 'nj']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'information', 'on', '<KEYWORD>', 'bars', '<KEYWORD>', 'and', 'nightclubs', 'in', '<KEYWORD>', 'hoboken', '<KEYWORD>', '<KEYWORD>', 'nj', '<KEYWORD>']","['looking', 'bars', 'hoboken', 'nj']","[2, 6, 10, 11]",4
"['i', 'm', 'looking', 'for', 'nutrition', 'and', 'diet', 'information', 'for', 'diabetics']","['i', 'm', 'looking', 'for', 'nutrition', 'and', '<KEYWORD>', 'diet', '<KEYWORD>', 'information', 'for', 'diabetics']",['diet'],[6],1
"['i', 'm', 'looking', 'for', 'online', 'sites', 'that', 'sell', 'car', 'parts']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'online', 'sites', 'that', 'sell', '<KEYWORD>', 'car', '<KEYWORD>', '<KEYWORD>', 'parts', '<KEYWORD>']","['looking', 'car', 'parts']","[2, 8, 9]",3
"['i', 'm', 'looking', 'for', 'reviews', 'of', 'elliptical', 'machines']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'reviews', 'of', 'elliptical', 'machines']",['looking'],[2],1
"['i', 'm', 'looking', 'for', 'some', 'free', 'sample', 'gmat', 'exams', 'to', 'practice', 'on']","['i', 'm', 'looking', 'for', 'some', 'free', '<KEYWORD>', 'sample', '<KEYWORD>', 'gmat', 'exams', 'to', 'practice', 'on']",['sample'],[6],1
"['i', 'm', 'looking', 'for', 'the', 'arizona', 'fishing', 'report', 'site']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'the', '<KEYWORD>', 'arizona', '<KEYWORD>', '<KEYWORD>', 'fishing', '<KEYWORD>', '<KEYWORD>', 'report', '<KEYWORD>', 'site']","['looking', 'arizona', 'fishing', 'report']","[2, 5, 6, 7]",4
"['i', 'm', 'looking', 'for', 'the', 'beatthegmat', 'blog', 'and', 'forums']","['i', 'm', 'looking', 'for', 'the', '<KEYWORD>', 'beatthegmat', '<KEYWORD>', '<KEYWORD>', 'blog', '<KEYWORD>', 'and', '<KEYWORD>', 'forums', '<KEYWORD>']","['beatthegmat', 'blog', 'forums']","[5, 6, 8]",3
"['i', 'm', 'looking', 'for', 'the', 'car', 'part', 'com', 'web', 'site']","['i', 'm', 'looking', 'for', 'the', 'car', 'part', 'com', '<KEYWORD>', 'web', '<KEYWORD>', '<KEYWORD>', 'site', '<KEYWORD>']","['web', 'site']","[8, 9]",2
"['i', 'm', 'looking', 'for', 'the', 'history', 'of', 'hoboken', 'nj']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'the', 'history', 'of', '<KEYWORD>', 'hoboken', '<KEYWORD>', 'nj']","['looking', 'hoboken']","[2, 7]",2
"['i', 'm', 'looking', 'for', 'web', 'sites', 'that', 'do', 'antique', 'appraisals']","['i', 'm', '<KEYWORD>', 'looking', '<KEYWORD>', 'for', 'web', 'sites', 'that', 'do', '<KEYWORD>', 'antique', '<KEYWORD>', 'appraisals']","['looking', 'antique']","[2, 8]",2
"['information', 'about', 'zoning', 'regulations', 'in', 'cass', 'county', 'missouri']","['information', 'about', 'zoning', '<KEYWORD>', 'regulations', '<KEYWORD>', 'in', '<KEYWORD>', 'cass', '<KEYWORD>', '<KEYWORD>', 'county', '<KEYWORD>', '<KEYWORD>', 'missouri', '<KEYWORD>']","['regulations', 'cass', 'county', 'missouri']","[3, 5, 6, 7]",4
"['is', 'a', 'higher', 'heart', 'rate', 'related', 'to', 'high', 'blood', 'pressure', 'or', 'cholesterol']","['is', 'a', 'higher', '<KEYWORD>', 'heart', '<KEYWORD>', '<KEYWORD>', 'rate', '<KEYWORD>', '<KEYWORD>', 'related', '<KEYWORD>', 'to', 'high', '<KEYWORD>', 'blood', '<KEYWORD>', 'pressure', 'or', 'cholesterol']","['heart', 'rate', 'related', 'blood']","[3, 4, 5, 8]",4
"['looking', 'for', 'locations', 'and', 'dates', 'of', 'rock', 'and', 'gem', 'shows']","['looking', 'for', '<KEYWORD>', 'locations', '<KEYWORD>', 'and', 'dates', 'of', '<KEYWORD>', 'rock', '<KEYWORD>', 'and', '<KEYWORD>', 'gem', '<KEYWORD>', '<KEYWORD>', 'shows', '<KEYWORD>']","['locations', 'rock', 'gem', 'shows']","[2, 6, 8, 9]",4
"['provide', 'pressure', 'washer', 'reviews', 'and', 'or', 'ratings']","['<KEYWORD>', 'provide', '<KEYWORD>', 'pressure', '<KEYWORD>', 'washer', '<KEYWORD>', 'reviews', 'and', 'or', '<KEYWORD>', 'ratings', '<KEYWORD>']","['provide', 'washer', 'ratings']","[0, 2, 6]",3
"['show', 'a', 'map', 'of', 'arkansas']","['<KEYWORD>', 'show', '<KEYWORD>', 'a', '<KEYWORD>', 'map', '<KEYWORD>', 'of', 'arkansas']","['show', 'map']","[0, 2]",2
"['suggest', 'tourist', 'activities', 'in', 'barbados']","['suggest', '<KEYWORD>', 'tourist', '<KEYWORD>', 'activities', 'in', '<KEYWORD>', 'barbados', '<KEYWORD>']","['tourist', 'barbados']","[1, 4]",2
"['take', 'me', 'to', 'yahoo', 'mail']","['take', 'me', 'to', '<KEYWORD>', 'yahoo', '<KEYWORD>', '<KEYWORD>', 'mail', '<KEYWORD>']","['yahoo', 'mail']","[3, 4]",2
"['take', 'me', 'to', 'the', 'nih', 'national', 'diabetes', 'education', 'program', 'homepage']","['take', 'me', 'to', 'the', '<KEYWORD>', 'nih', '<KEYWORD>', 'national', 'diabetes', 'education', '<KEYWORD>', 'program', '<KEYWORD>', '<KEYWORD>', 'homepage', '<KEYWORD>']","['nih', 'program', 'homepage']","[4, 8, 9]",3
"['take', 'me', 'to', 'the', 'homepage', 'for', 'the', 'euclid', 'chemical', 'company']","['take', 'me', 'to', 'the', 'homepage', 'for', 'the', '<KEYWORD>', 'euclid', '<KEYWORD>', '<KEYWORD>', 'chemical', '<KEYWORD>', 'company']","['euclid', 'chemical']","[7, 8]",2
